,id,hero,speaker,title,duration,slug,viewed_count,index
21,2873,https://pe.tedcdn.com/images/ted/635f76d5d4d0a454b6131b93b471d1f65065f14d_2880x1620.jpg,OluTimehin Adegbeye,Who belongs in a city?,723,olutimehin_adegbeye_who_belongs_in_a_city,686614,3
22,2840,https://pe.tedcdn.com/images/ted/e14c457790cbe44629c9afaf8867a3558d0cf121_2880x1620.jpg,Richard J. Berry,A practical way to help the homeless find work and safety,741,richard_j_berry_a_practical_way_to_help_the_homeless_find_work_and_safety,746572,3
23,2839,https://pe.tedcdn.com/images/ted/7651fdc16fac4fe5a41e91a65ee168af109e227e_2880x1620.jpg,Peter Calthorpe,7 principles for building better cities,860,peter_calthorpe_7_principles_for_building_better_cities,832386,3
24,2056,https://pe.tedcdn.com/images/ted/afc9b259845ec1b543419871e10753d4d9044fda_2400x1800.jpg,Talithia Williams,Own your body's data,1023,talithia_williams_own_your_body_s_data,1345319,4
25,2296,https://pe.tedcdn.com/images/ted/9e003b0a822daba702608136e73f7be001b6b2f2_2880x1620.jpg,Manuel Lima,A visual history of human knowledge,769,manuel_lima_a_visual_history_of_human_knowledge,1710818,4
26,620,https://pe.tedcdn.com/images/ted/111517_800x600.jpg,Hans Rosling,Let my dataset change your mindset,1196,hans_rosling_at_state,1471015,4
27,974,https://pe.tedcdn.com/images/ted/205077_800x600.jpg,Hans Rosling,The good news of the decade? We're winning the war against child mortality,934,hans_rosling_the_good_news_of_the_decade,738885,4
28,140,https://pe.tedcdn.com/images/ted/bf09302366bde885c86350145b87cd2b265f1f12_1600x1200.jpg,Hans Rosling,New insights on poverty,1137,hans_rosling_reveals_new_insights_on_poverty,3243775,4
29,912,https://pe.tedcdn.com/images/ted/b26e09ddd0ffeb774cd3eee2a24424c4ed542677_2880x1620.jpg,Hans Rosling,"Global population growth, box by box",604,hans_rosling_on_global_population_growth,2934214,4
30,229,https://pe.tedcdn.com/images/ted/eefe30d20338d800bdc70a09dc0f6007e7355a74_2880x1620.jpg,Jill Bolte Taylor,My stroke of insight,1099,jill_bolte_taylor_s_powerful_stroke_of_insight,21190809,5
31,70,https://pe.tedcdn.com/images/ted/6c8c4b562ae7b0a7f5b140e2db1f7588861a6565_1600x1200.jpg,Richard St. John,8 secrets of success,210,richard_st_john_s_8_secrets_of_success,10841194,5
32,97,https://pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg,Dan Gilbert,The surprising science of happiness,1276,dan_gilbert_asks_why_are_we_happy,14689293,5
33,1094,https://pe.tedcdn.com/images/ted/78e8d94d1d2a81cd182e0626dc8e96a43c88d760_800x600.jpg,David Brooks,The social animal,1124,david_brooks_the_social_animal,1132745,5
34,2861,https://pe.tedcdn.com/images/ted/040ce6ae0f5e8d306d395b03be10fffb459f69ae_2880x1620.jpg,Emily Esfahani Smith,There's more to life than being happy,738,emily_esfahani_smith_there_s_more_to_life_than_being_happy,997630,5
35,2279,https://pe.tedcdn.com/images/ted/7942398dd4f5b61691f12872b6e787cf53dec95f_2880x1620.jpg,Rana el Kaliouby,This app knows how you feel -- from the look on your face,664,rana_el_kaliouby_this_app_knows_how_you_feel_from_the_look_on_your_face,1407619,5
36,22,https://pe.tedcdn.com/images/ted/f9e5462fd10b5130015fab95f3be6ace3e0f4ef4_1600x1200.jpg,Michael Shermer,Why people believe weird things,805,michael_shermer_on_believing_strange_things,5364637,6
37,94,https://pe.tedcdn.com/images/ted/44daf1cec1e44f10eaaed00aa32196fa2a46990a_2880x1620.jpg,Dan Dennett,Let's teach religion -- all religion -- in schools,1485,dan_dennett_s_response_to_rick_warren,2567959,6
38,856,https://pe.tedcdn.com/images/ted/406342108d85291209a25f6a8e108b6ec6b81fa0_1600x1200.jpg,Julia Sweeney,"It's time for ""The Talk""",316,julia_sweeney_has_the_talk,3362073,6
39,112,https://pe.tedcdn.com/images/ted/195_480x360.jpg,Tom Honey,Why would God create a tsunami?,1172,tom_honey_on_god_and_the_tsunami,616383,6
40,71,https://pe.tedcdn.com/images/ted/229_480x360.jpg,Rick Warren,A life of purpose,1262,rick_warren_on_a_life_of_purpose,3095993,6
41,308,https://pe.tedcdn.com/images/ted/635e23878e0592bd2b01156a71262a97c6fad8b6_1600x1200.jpg,Billy Graham,On technology and faith,1580,billy_graham_on_technology_faith_and_suffering,1532672,6
42,750,https://pe.tedcdn.com/images/ted/144334_800x600.jpg,Joshua Prince-Ramus,Building a theater that remakes itself,1122,joshua_prince_ramus_building_a_theater_that_remakes_itself,717507,7
43,2092,https://pe.tedcdn.com/images/ted/f4c6a880aed1090157b39ee4ccca6c0f4e9f5615_2880x1620.jpg,Moshe Safdie,How to reinvent the apartment building,346,moshe_safdie_how_to_reinvent_the_apartment_building,1600426,7
44,2183,https://pe.tedcdn.com/images/ted/6c23c76e0033cdaf2c6c3c8d3c563fff0b4c58c5_2880x1620.jpg,Marc Kushner,Why the buildings of the future will be shaped by ... you,1085,marc_kushner_why_the_buildings_of_the_future_will_be_shaped_by_you,2780371,7
45,359,https://pe.tedcdn.com/images/ted/c3dad0c40ff21db5cf736a42683b5a1172b0cff9_2880x1620.jpg,Liz Diller,The Blur Building and other tech-empowered architecture,1164,liz_diller_plays_with_architecture,583307,7
46,231,https://pe.tedcdn.com/images/ted/33968_480x360.jpg,Frank Gehry,My days as a young rebel,2678,frank_gehry_as_a_young_rebel,620801,7
47,31,https://pe.tedcdn.com/images/ted/200_480x360.jpg,Thom Mayne,How architecture can connect us,1240,thom_mayne_on_architecture_as_connection,660907,7
48,71,https://pe.tedcdn.com/images/ted/229_480x360.jpg,Rick Warren,A life of purpose,1262,rick_warren_on_a_life_of_purpose,3095993,8
49,2011,https://pe.tedcdn.com/images/ted/eff4d536c8ddd92d6c5098adaf1f88a5b14c3a33_2880x1620.jpg,Kwame Anthony Appiah,Is religion good or bad? (This is a trick question),880,kwame_anthony_appiah_is_religion_good_or_bad_this_is_a_trick_question,1569209,8
50,234,https://pe.tedcdn.com/images/ted/e653c223738e3bb9496a323298be3d6b7f72aa32_2880x1620.jpg,Karen Armstrong,My wish: The Charter for Compassion,1288,karen_armstrong_makes_her_ted_prize_wish_the_charter_for_compassion,1277609,8
51,113,https://pe.tedcdn.com/images/ted/454_480x360.jpg,Richard Dawkins,Militant atheism,1750,richard_dawkins_on_militant_atheism,4374790,8
52,301,https://pe.tedcdn.com/images/ted/eefa0767cdea7f4019584ecc80457b3ef87fc7a3_2880x1620.jpg,AJ Jacobs,My year of living biblically,1060,a_j_jacobs_year_of_living_biblically,2291695,8
53,1327,https://pe.tedcdn.com/images/ted/f076b40cf5edbc49c2ca06333cb77a8f377ecf4f_1600x1200.jpg,Alain de Botton,Atheism 2.0,1160,alain_de_botton_atheism_2_0,2202997,8
54,94,https://pe.tedcdn.com/images/ted/44daf1cec1e44f10eaaed00aa32196fa2a46990a_2880x1620.jpg,Dan Dennett,Let's teach religion -- all religion -- in schools,1485,dan_dennett_s_response_to_rick_warren,2567959,9
55,676,https://pe.tedcdn.com/images/ted/f777b41d89f5116d4c8554f0ff33448f614a3bf0_2880x1620.jpg,Feisal Abdul Rauf,"Lose your ego, find your compassion",1007,imam_feisal_abdul_rauf,433199,9
56,2011,https://pe.tedcdn.com/images/ted/eff4d536c8ddd92d6c5098adaf1f88a5b14c3a33_2880x1620.jpg,Kwame Anthony Appiah,Is religion good or bad? (This is a trick question),880,kwame_anthony_appiah_is_religion_good_or_bad_this_is_a_trick_question,1569209,9
57,301,https://pe.tedcdn.com/images/ted/eefa0767cdea7f4019584ecc80457b3ef87fc7a3_2880x1620.jpg,AJ Jacobs,My year of living biblically,1060,a_j_jacobs_year_of_living_biblically,2291696,9
58,86,https://pe.tedcdn.com/images/ted/f39ff6dad742cc3f35c4ad0f77573cdf6cd0fda3_1600x1200.jpg,Julia Sweeney,Letting go of God,992,julia_sweeney_on_letting_go_of_god,3769987,9
59,308,https://pe.tedcdn.com/images/ted/635e23878e0592bd2b01156a71262a97c6fad8b6_1600x1200.jpg,Billy Graham,On technology and faith,1580,billy_graham_on_technology_faith_and_suffering,1532672,9
60,1749,https://pe.tedcdn.com/images/ted/dd5aed086fa3e2ef79e3585b52c5400d9591b7b8_2880x1620.jpg,Alastair Parvin,Architecture for the people by the people,791,alastair_parvin_architecture_for_the_people_by_the_people,1422722,10
61,2183,https://pe.tedcdn.com/images/ted/6c23c76e0033cdaf2c6c3c8d3c563fff0b4c58c5_2880x1620.jpg,Marc Kushner,Why the buildings of the future will be shaped by ... you,1085,marc_kushner_why_the_buildings_of_the_future_will_be_shaped_by_you,2780371,10
62,31,https://pe.tedcdn.com/images/ted/200_480x360.jpg,Thom Mayne,How architecture can connect us,1240,thom_mayne_on_architecture_as_connection,660908,10
63,646,https://pe.tedcdn.com/images/ted/118805_800x600.jpg,Tim Brown,Designers -- think big!,1010,tim_brown_urges_designers_to_think_big,1340161,10
64,2532,https://pe.tedcdn.com/images/ted/3ce4329fe18c38baf961944d6d452d9469010f4d_2880x1620.jpg,Michael Murphy,Architecture that's built to heal,938,michael_murphy_architecture_that_s_built_to_heal,1161885,10
65,266,https://pe.tedcdn.com/images/ted/78d02a18ad21ee9032aae5b55690d57f21841ad7_1600x1200.jpg,Yves Behar,Designing objects that tell stories,1063,yves_behar_on_designing_objects_that_tell_stories,1109819,10
66,2228,https://pe.tedcdn.com/images/ted/ffcb1942eeea2e2abfe0c67ff3e96f07a6bd25d6_2880x1620.jpg,Chris Milk,How virtual reality can create the ultimate empathy machine,616,chris_milk_how_virtual_reality_can_create_the_ultimate_empathy_machine,1492235,11
67,1476,https://pe.tedcdn.com/images/ted/bac8839a33809f55c6cc82eae08128bccacbb6b5_1600x1200.jpg,Beeban Kidron,The shared wonder of film,792,beeban_kidron_the_shared_wonder_of_film,765723,11
68,800,https://pe.tedcdn.com/images/ted/2d8068a20b47a66054fc2981d0d465dae6ef136b_1600x1200.jpg,Shekhar Kapur,We are the stories we tell ourselves,1274,shekhar_kapur_we_are_the_stories_we_tell_ourselves,733290,11
69,403,https://pe.tedcdn.com/images/ted/59229_800x600.jpg,Franco Sacchi,"A tour of Nollywood, Nigeria's booming film industry",1054,franco_sacchi_on_nollywood,223081,11
70,170,https://pe.tedcdn.com/images/ted/6c776fd5e394897a8782ff635a2ec1eb4c9c5ade_1600x1200.jpg,Jeff Skoll,My journey into movies that matter,931,jeff_skoll_makes_movies_that_make_change,727246,11
71,282,https://pe.tedcdn.com/images/ted/47394_480x360.jpg,David Hoffman,What happens when you lose everything,240,david_hoffman_on_losing_everything,920932,11
72,1153,https://pe.tedcdn.com/images/ted/55e8224d694fec895e6f95aa6fad6ee7fe091bb7_800x600.jpg,Bruce Aylward,How we'll stop polio for good,1389,bruce_aylward_how_we_ll_stop_polio,509361,12
73,869,https://pe.tedcdn.com/images/ted/173671_800x600.jpg,Seth Berkley,HIV and flu -- the vaccine strategy,1265,seth_berkley_hiv_and_flu_the_vaccine_strategy,541071,12
74,1905,https://pe.tedcdn.com/images/ted/3f66927c46f0beec652fee24ca8feddf183b8396_1600x1200.jpg,Mark Kendall,Demo: A needle-free vaccine patch that's safer and way cheaper,830,mark_kendall_demo_a_needle_free_vaccine_patch_that_s_safer_and_way_cheaper,1004833,12
75,529,https://pe.tedcdn.com/images/ted/86528_800x600.jpg,Laurie Garrett,Lessons from the 1918 flu,1265,laurie_garrett_on_lessons_from_the_1918_flu,425427,12
76,177,https://pe.tedcdn.com/images/ted/20741_480x360.jpg,Larry Brilliant,The case for optimism,1261,larry_brilliant_makes_the_case_for_optimism,418233,12
77,2185,https://pe.tedcdn.com/images/ted/a8f073e3176c1a4b8419551beb2341e0e80e90ce_2880x1620.jpg,Romina Libster,The power of herd immunity,881,romina_libster_the_power_of_herd_immunity,658454,12
78,685,https://pe.tedcdn.com/images/ted/565a3ead73aaf1781d6eff7a25615cd3de7920cf_2880x1620.jpg,Pranav Mistry,The thrilling potential of SixthSense technology,830,pranav_mistry_the_thrilling_potential_of_sixthsense_technology,16097009,13
79,872,https://pe.tedcdn.com/images/ted/174124_800x600.jpg,John Underkoffler,Pointing to the future of UI,922,john_underkoffler_drive_3d_data_with_a_gesture,1514008,13
80,1984,https://pe.tedcdn.com/images/ted/7050fccc4b9b3515903a1fe304017edf282fb5f7_1600x1200.jpg,James Patten,The best computer interface? Maybe ... your hands,372,james_patten_the_best_computer_interface_maybe_your_hands,1033457,13
81,2410,https://pe.tedcdn.com/images/ted/714e1ddc66704b5ff3edb4278b470d2023ac59f8_2880x1620.jpg,Sean Follmer,Shape-shifting tech will change work as we know it,562,sean_follmer_shape_shifting_tech_will_change_work_as_we_know_it,1406067,13
82,260,https://pe.tedcdn.com/images/ted/41100_480x360.jpg,Michael Moschen,Juggling as art ... and science,2222,michael_moschen_juggles_rhythm_and_motion,944833,13
83,230,https://pe.tedcdn.com/images/ted/8944003acaf027a37ea079e47bc14985d326d451_2880x1620.jpg,Nicholas Negroponte,"5 predictions, from 1984",1523,nicholas_negroponte_in_1984_makes_5_predictions,974084,13
84,2043,https://pe.tedcdn.com/images/ted/916b709d600db97cc67aa7e984c88b011dcb561f_2400x1800.jpg,Nicholas Negroponte,A 30-year history of the future,1183,nicholas_negroponte_a_30_year_history_of_the_future,1877639,14
85,255,https://pe.tedcdn.com/images/ted/40260_480x360.jpg,Hector Ruiz,The thinking behind 50x15,1197,hector_ruiz_on_connecting_the_world,315243,14
86,1678,https://pe.tedcdn.com/images/ted/6c16e9be449a6f2ff8940eb95257ad31ae7e0b4a_1600x1200.jpg,Sugata Mitra,Build a School in the Cloud,1351,sugata_mitra_build_a_school_in_the_cloud,2895722,14
87,288,https://pe.tedcdn.com/images/ted/46407_480x360.jpg,Nicholas Negroponte,"One Laptop per Child, two years on",1000,nicholas_negroponte_on_one_laptop_per_child_two_years_on,398641,14
88,423,https://pe.tedcdn.com/images/ted/63395_800x600.jpg,Nicholas Negroponte,Taking OLPC to Colombia,408,nicholas_negroponte_takes_olpc_to_colombia,363198,14
89,230,https://pe.tedcdn.com/images/ted/8944003acaf027a37ea079e47bc14985d326d451_2880x1620.jpg,Nicholas Negroponte,"5 predictions, from 1984",1523,nicholas_negroponte_in_1984_makes_5_predictions,974084,14
90,2273,https://pe.tedcdn.com/images/ted/ef5ead6c24bf79ac3417b3c7a10b4c08594e2bcc_2880x1620.jpg,Joey Alexander,An 11-year-old prodigy performs old-school jazz,388,joey_alexander_an_11_year_old_prodigy_performs_old_school_jazz,2155013,15
91,2242,https://pe.tedcdn.com/images/ted/d8e551a456c32dfd2ba43b2c29135c246e7c5e74_2880x1620.jpg,Bill T. Jones,"The dancer, the singer, the cellist ... and a moment of creative magic",386,bill_t_jones_the_dancer_the_singer_the_cellist_and_a_moment_of_creative_magic,1254866,15
92,1156,https://pe.tedcdn.com/images/ted/1c53e6d17512a3a28f27cce961ea777ac5981d14_800x600.jpg,Robert Gupta + Joshua Roman,"On violin and cello, ""Passacaglia""",561,robert_gupta_and_joshua_roman_duet_on_passacaglia,769922,15
93,805,https://pe.tedcdn.com/images/ted/c9031a0735bdf47cf6af3667bd9ad3101ee1bd5b_1600x1200.jpg,Robert Gupta,"Music is medicine, music is sanity",566,robert_gupta,1163379,15
94,1440,https://pe.tedcdn.com/images/ted/a7cdfc92f9ccd377f01d953578c2a4bb6a4190b4_800x600.jpg,Michael Tilson Thomas,Music and emotion through time,1213,michael_tilson_thomas_music_and_emotion_through_time,1281071,15
95,2033,https://pe.tedcdn.com/images/ted/37ac0f78df7d634eddc9d6d845a3b84f4441852f_2400x1800.jpg,Ge Wang,The DIY orchestra of the future,1056,ge_wang_the_diy_orchestra_of_the_future,1172280,15
96,2273,https://pe.tedcdn.com/images/ted/ef5ead6c24bf79ac3417b3c7a10b4c08594e2bcc_2880x1620.jpg,Joey Alexander,An 11-year-old prodigy performs old-school jazz,388,joey_alexander_an_11_year_old_prodigy_performs_old_school_jazz,2155013,16
97,2100,https://pe.tedcdn.com/images/ted/f0b2de54d5276e863d96cd736902cad23052e554_2880x1620.jpg,Daria van den Bercken,Why I take the piano on the road ... and in the air,570,daria_van_den_bercken_why_i_take_the_piano_on_the_road_and_in_the_air,903064,16
98,1298,https://pe.tedcdn.com/images/ted/96fc3343d4c46540d40dc70ad8284275a31a4855_800x600.jpg,Stefon Harris,There are no mistakes on the bandstand,791,stefon_harris_there_are_no_mistakes_on_the_bandstand,653298,16
99,1526,https://pe.tedcdn.com/images/ted/a5b96e266216cd84e407142eb2d06650aad5c40e_1200x900.jpg,Mark Applebaum,The mad scientist of music,1010,mark_applebaum_the_mad_scientist_of_music,3600566,16
100,883,https://pe.tedcdn.com/images/ted/176929_800x600.jpg,David Byrne,How architecture helped music evolve,960,david_byrne_how_architecture_helped_music_evolve,1231154,16
101,246,https://pe.tedcdn.com/images/ted/38589_480x360.jpg,Tod Machover + Dan Ellsey,Inventing instruments that unlock new music,1241,tod_machover_and_dan_ellsey_play_new_music,497153,16
102,1561,https://pe.tedcdn.com/images/ted/93ef1e914e9715e911cbcac0447377bdb1bfafe6_1600x1200.jpg,Jonathan Trent,Energy from floating algae pods,885,jonathan_trent_energy_from_floating_algae_pods,809308,17
103,1072,https://pe.tedcdn.com/images/ted/4675e1c70377634e72042bd7757eadcb53b96b56_800x600.jpg,Michael Pawlyn,Using nature's genius in architecture,826,michael_pawlyn_using_nature_s_genius_in_architecture,1740545,17
104,1184,https://pe.tedcdn.com/images/ted/032fd1698c105d7d0df51d3fada7ac4e9e368436_800x600.jpg,Nathan Myhrvold,Cooking as never seen before,605,nathan_myhrvold_cut_your_food_in_half,1396187,17
105,1020,https://pe.tedcdn.com/images/ted/b80f80423a51c94a3d399d5c8f85ae3d3c9d2f0d_2880x1620.jpg,Arthur Potts Dawson,A vision for sustainable restaurants,529,arthur_potts_dawson_a_vision_for_sustainable_restaurants,833895,17
106,1041,https://pe.tedcdn.com/images/ted/96c703bb13a2e9c2d351a5e6b52390bc35eaad06_800x600.jpg,Majora Carter,3 stories of local eco-entrepreneurship,1079,majora_carter_3_stories_of_local_ecoactivism,702642,17
107,85,https://pe.tedcdn.com/images/ted/aa8103bec20c29929be19087fec1b22943a10e75_2880x1620.jpg,Bill Clinton,My wish: Rebuilding Rwanda,1447,bill_clinton_on_rebuilding_rwanda,849859,17
108,2251,https://pe.tedcdn.com/images/ted/f0f1e53f628aa2b15d2ada0e48432f1e1e320ecc_2880x1620.jpg,Elora Hardy,"Magical houses, made of bamboo",617,elora_hardy_magical_houses_made_of_bamboo,3351094,18
109,174,https://pe.tedcdn.com/images/ted/35395_480x360.jpg,Norman Foster,My green agenda for architecture,1917,norman_foster_s_green_agenda,763812,18
110,614,https://pe.tedcdn.com/images/ted/e8430d354d96172c304305fc026b2fdf3d36b6b3_2880x1620.jpg,Janine Benyus,Biomimicry in action,1062,janine_benyus_biomimicry_in_action,1118944,18
111,5,https://pe.tedcdn.com/images/ted/3555871b7fda2769faa81b0be33ba429c4f588a0_2880x1620.jpg,Chris Bangle,Great cars are great art,1204,chris_bangle_says_great_cars_are_art,867495,18
112,431,https://pe.tedcdn.com/images/ted/65581_800x600.jpg,Rob Forbes,Ways of seeing,937,rob_forbes_on_ways_of_seeing,368513,18
113,207,https://pe.tedcdn.com/images/ted/24481_480x360.jpg,Paola Antonelli,Treat design as art,1097,paola_antonelli_treats_design_as_art,585050,18
114,640,https://pe.tedcdn.com/images/ted/117051_800x600.jpg,Jonathan Zittrain,The Web as random acts of kindness,1191,jonathan_zittrain_the_web_is_a_random_act_of_kindness,717476,19
115,362,https://pe.tedcdn.com/images/ted/371_480x360.jpg,Steven Johnson,The Web as a city,990,steven_johnson_on_the_web_as_a_city,344618,19
116,1295,https://pe.tedcdn.com/images/ted/cc4e62fb426a8abf08f4d5b771b348089705d2c4_2880x1620.jpg,Luis von Ahn,Massive-scale online collaboration,999,luis_von_ahn_massive_scale_online_collaboration,1482646,19
117,247,https://pe.tedcdn.com/images/ted/38680_480x360.jpg,Yochai Benkler,The new open-source economics,1072,yochai_benkler_on_the_new_open_source_economics,753972,19
118,783,https://pe.tedcdn.com/images/ted/153652_800x600.jpg,Gary Flake,Is Pivot a turning point for web exploration?,385,gary_flake_is_pivot_a_turning_point_for_web_exploration,654075,19
119,1091,https://pe.tedcdn.com/images/ted/0f550197b90f20147576a51962258dc5ac7ac82d_800x600.jpg,Eli Pariser,"Beware online ""filter bubbles""",544,eli_pariser_beware_online_filter_bubbles,4039362,19
120,1913,https://pe.tedcdn.com/images/ted/a26c7c92140aec2d6679d94f7cdd0e7371505c65_1600x1200.jpg,Anant Agarwal,Why massive open online courses (still) matter,919,anant_agarwal_why_massively_open_online_courses_still_matter,1072693,20
121,1531,https://pe.tedcdn.com/images/ted/a512e584f64e2a30945af3c91101253c92a874fa_1600x1200.jpg,Daphne Koller,What we're learning from online education,1240,daphne_koller_what_we_re_learning_from_online_education,2302159,20
122,1570,https://pe.tedcdn.com/images/ted/b5a6709fd1913ee333964a645d9c8b271ed82da5_1600x1200.jpg,Shimon Schocken,The self-organizing computer course,985,shimon_schocken_the_self_organizing_computer_course,983155,20
123,346,https://pe.tedcdn.com/images/ted/53153_480x360.jpg,Brewster Kahle,A free digital library,1206,brewster_kahle_builds_a_free_digital_library,445778,20
124,2382,https://pe.tedcdn.com/images/ted/f0492898d0b7658a39ac9348f555f11e936b5068_2880x1620.jpg,Ann Morgan,My year reading a book from every country in the world,723,ann_morgan_my_year_reading_a_book_from_every_country_in_the_world,1446212,20
125,2180,https://pe.tedcdn.com/images/ted/2ff057a4bb41b2246c65370cf104a8ffa0dfc75a_2880x1620.jpg,Brian Dettmer,Old books reborn as art,366,brian_dettmer_old_books_reborn_as_intricate_art,1159907,20
126,148,https://pe.tedcdn.com/images/ted/2ee4ff57415326f5ba4de74807f891825e96c26e_1600x1200.jpg,Rives,The  4 a.m. mystery,552,rives_on_4_a_m,3387763,21
127,981,https://pe.tedcdn.com/images/ted/207122_800x600.jpg,Ze Frank,My web playroom,1080,ze_frank_s_web_playroom,1876042,21
128,2049,https://pe.tedcdn.com/images/ted/c2b614f6687170da113c70c7bb1cc4deb591b2d7_2880x1620.jpg,Ze Frank,Are you human?,274,ze_frank_are_you_human,4058081,21
129,2792,https://pe.tedcdn.com/images/ted/5558298f5b2a0211b3c8de807b632ab2eca3d769_2880x1620.jpg, OK Go,How to find a wonderful idea,1055,ok_go_how_to_find_a_wonderful_idea,1492487,21
130,1152,https://pe.tedcdn.com/images/ted/1c3f327a456360b2846b9ee8f15788ef99f93dd8_800x600.jpg,Aaron Koblin,Visualizing ourselves ... with crowd-sourced data,1098,aaron_koblin,1474174,21
131,2838,https://pe.tedcdn.com/images/ted/5b15e7da00df0758c3a5df3c7bf6df761bf8c83f_2880x1620.jpg,Jack Conte,How artists can (finally) get paid in the digital age ,631,jack_conte_how_artists_can_finally_get_paid_in_the_digital_age,732720,21
